SALE TYPE,SOLD DATE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,STATUS,MLS#
PAST SALE,2017,544 NE 62nd Unit 544-1,Miami,FL,33137,105000,0,1,338,1946,505,311,Sold,A10277496
PAST SALE,2016,1960 Marseille Dr #303,Miami Beach,FL,33141,110250,1,1,635,1979,1020,174,Sold,A10038778
PAST SALE,2017,2618 Collins Ave #401,Miami Beach,FL,33140,115000,0,1,320,1951,732,359,Sold,A10167449
PAST SALE,2018,945 Meridian Ave #6,Miami Beach,FL,33139,117500,0,1,400,1960,132,294,Sold,A10279104
MLS Listing,,763 Pennsylvania Ave #323,Miami Beach,FL,33139,129900,0,1,275,1936,11,472,Active,A10610918
PAST SALE,2017,255 W 24th St #302,Miami Beach,FL,33140,130000,0,1,260,1941,678,500,Sold,A10189837
PAST SALE,2017,2195 Bay Dr #7,Miami Beach,FL,33141,133000,1,1,609,1956,721,218,Sold,A10180534
MLS Listing,,1050 Pennsylvania Ave #27,Miami Beach,FL,33139,135000,0,1,380,1962,9,355,Active,A10611615
PAST SALE,2018,3301 NE 5th Ave #816,Miami,FL,33137,135000,1,1,822,1961,309,164,Sold,A10365884
PAST SALE,2017,637 NE 92nd St Unit 11C,Miami Shores,FL,33138,135000,2,1,815,1949,622,166,Sold,A10237614
MLS Listing,,126 NW Mendoza Ave #1,Coral Gables,FL,33134,140000,0,1,351,1927,2,399,Active,A10616132
PAST SALE,2017,1185 Marseille Dr #208,Miami Beach,FL,33141,140000,1,1,674,1960,691,208,Sold,A10185051
PAST SALE,2016,1801 S Treasure Dr #411,North Bay Village,FL,33141,140000,1,1,620,1972,895,226,Sold,A10062188
PAST SALE,2018,,Miami Beach,FL,33140,140000,0,1,240,1938,274,583,Sold,A10431939
PAST SALE,2016,1441 Lincoln Rd #216,Miami Beach,FL,33139,143000,0,1,370,1963,,386,Sold,F10000353
PAST SALE,2016,3710 Collins Ave Unit N-101,Miami Beach,FL,33140,144900,0,1,360,1938,1049,403,Sold,A10026360
MLS Listing,,655 83rd St #54,Miami Beach,FL,33141,145000,2,1,592,1949,1,245,Active,A10617442
PAST SALE,2016,1865 79th Street Cswy Unit 8F,North Bay Village,FL,33141,145000,0,1,577,1952,987,251,Sold,A10030666
MLS Listing,,1618 Michigan #27,Miami Beach,FL,33139,145500,1,1,450,1925,1,323,Active,A10617431
MLS Listing,,1700 NE 105th St #505,Miami Shores,FL,33138,145900,1,1.5,891,1965,11,164,Active,A10611124
MLS Listing,,1925 Washington Ave #20,Miami Beach,FL,33139,147000,0,1,400,1949,11,368,Active,A10610971
MLS Listing,,1618 Michigan Ave #26,Miami Beach,FL,33139,148000,1,1,460,1925,1,322,Active,A10617478
PAST SALE,2016,1560 Jefferson Ave #6,Miami Beach,FL,33139,148000,0,1,394,1936,813,376,Sold,A10129928
PAST SALE,2018,255 W 24th St #301,Miami Beach,FL,33140,148522,0,1,290,1941,368,512,Sold,A10339239
PAST SALE,2017,315 NE 58 Ter,Miami,FL,33137,149000,2,1,1132,1926,543,132,Sold,A10318098
MLS Listing,,9020 NE 8th Ave Unit 1I,Miami Shores,FL,33138,149900,2,2,1024,1973,7,146,Active,A10613403
MLS Listing,,1320 Drexel Ave #103,Miami Beach,FL,33139,150000,0,1,270,1925,1,556,Active,A10617206
MLS Listing,,5225 Collins Ave Unit CU307,Miami Beach,FL,33140,150000,0,1,140,1962,8,1071,Active,A10612457
MLS Listing,,1700 NE 105th St #304,Miami Shores,FL,33138,150000,1,1.5,891,1965,1,168,Active,A10617489
MLS Listing,,170 SE 14th St #2206,Miami,FL,33131,150000,1,1,630,2006,2,238,Active,A10616177
PAST SALE,2016,7928 West Dr #607,North Bay Village,FL,33141,150000,1,1,760,1969,910,197,Sold,A10020496
